Id;Username;City;EMail;Birthday
1;User001;Fürth;User001pskurs.local;01.05.1960
2;User002;Jena;User002pskurs.local;03.11.1986
3;User003;Oldenburg (Oldb);User003pskurs.local;15.02.1966
4;User004;Stuttgart;User004pskurs.local;15.01.1979
5;User005;Bielefeld;User005pskurs.local;08.09.1986
6;User006;Essen;User006pskurs.local;13.08.1973
7;User007;Nürnberg;User007pskurs.local;13.05.1977
8;User008;Ingolstadt;User008pskurs.local;15.03.1985
9;User009;Mainz;User009pskurs.local;06.05.1968
10;User010;Darmstadt;User010pskurs.local;19.02.1965
11;User011;Hannover;User011pskurs.local;22.07.1962
12;User012;Oldenburg (Oldb);User012pskurs.local;14.04.1980
13;User013;Stuttgart;User013pskurs.local;19.07.1968
14;User014;Gelsenkirchen;User014pskurs.local;15.06.1960
15;User015;Göttingen;User015pskurs.local;07.04.1973
16;User016;Koblenz;User016pskurs.local;15.08.1974
17;User017;Bochum;User017pskurs.local;02.11.1975
18;User018;Cottbus;User018pskurs.local;15.10.1983
19;User019;Bielefeld;User019pskurs.local;21.08.1961
20;User020;Bremen;User020pskurs.local;05.11.1977
21;User021;Recklinghausen;User021pskurs.local;14.12.1971
22;User022;Oberhausen;User022pskurs.local;27.02.1963
23;User023;Braunschweig;User023pskurs.local;26.03.1964
24;User024;Krefeld;User024pskurs.local;25.09.1961
25;User025;Freiburg im Breisgau;User025pskurs.local;11.07.1989
26;User026;Oldenburg (Oldb);User026pskurs.local;22.05.1986
27;User027;Remscheid;User027pskurs.local;17.03.1989
28;User028;Bielefeld;User028pskurs.local;17.04.1968
29;User029;Remscheid;User029pskurs.local;28.12.1969
30;User030;Oldenburg (Oldb);User030pskurs.local;09.06.1978
31;User031;Düsseldorf;User031pskurs.local;31.12.1984
32;User032;Reutlingen;User032pskurs.local;30.09.1965
33;User033;Moers;User033pskurs.local;20.05.1983
34;User034;Göttingen;User034pskurs.local;04.06.1990
35;User035;Hannover;User035pskurs.local;08.07.1978
36;User036;Köln;User036pskurs.local;08.08.1975
37;User037;Karlsruhe;User037pskurs.local;25.02.1987
38;User038;Berlin;User038pskurs.local;20.02.1966
39;User039;Reutlingen;User039pskurs.local;30.03.1973
40;User040;Kiel;User040pskurs.local;16.06.1985
41;User041;Darmstadt;User041pskurs.local;04.04.1971
42;User042;Bottrop;User042pskurs.local;26.12.1990
43;User043;Göttingen;User043pskurs.local;25.10.1968
44;User044;Kassel;User044pskurs.local;12.05.1962
45;User045;Darmstadt;User045pskurs.local;23.07.1979
46;User046;Ulm;User046pskurs.local;29.03.1963
47;User047;Dortmund;User047pskurs.local;16.04.1990
48;User048;Herne;User048pskurs.local;07.06.1974
49;User049;Paderborn;User049pskurs.local;06.09.1968
50;User050;Dresden;User050pskurs.local;08.01.1986
51;User051;Wolfsburg;User051pskurs.local;05.06.1987
52;User052;Heilbronn;User052pskurs.local;10.01.1977
53;User053;Offenbach am Main;User053pskurs.local;23.06.1981
54;User054;Remscheid;User054pskurs.local;15.01.1988
55;User055;Bochum;User055pskurs.local;09.05.1984
56;User056;München;User056pskurs.local;04.05.1978
57;User057;Göttingen;User057pskurs.local;01.06.1977
58;User058;Bremer­haven;User058pskurs.local;24.10.1967
59;User059;Hannover;User059pskurs.local;12.10.1979
60;User060;Bergisch Gladbach;User060pskurs.local;21.02.1983
61;User061;Augsburg;User061pskurs.local;30.08.1989
62;User062;Göttingen;User062pskurs.local;10.10.1967
63;User063;Mannheim;User063pskurs.local;27.03.1976
64;User064;Hamm;User064pskurs.local;16.05.1971
65;User065;Oberhausen;User065pskurs.local;16.02.1978
66;User066;Reutlingen;User066pskurs.local;22.12.1965
67;User067;Ulm;User067pskurs.local;16.12.1964
68;User068;Kiel;User068pskurs.local;15.11.1975
69;User069;Salzgitter;User069pskurs.local;22.03.1966
70;User070;Wuppertal;User070pskurs.local;24.02.1975
71;User071;Hildesheim;User071pskurs.local;21.05.1987
72;User072;Fürth;User072pskurs.local;03.07.1987
73;User073;Bottrop;User073pskurs.local;06.09.1973
74;User074;Gütersloh;User074pskurs.local;10.12.1987
75;User075;Heilbronn;User075pskurs.local;25.08.1986
76;User076;Ingolstadt;User076pskurs.local;03.08.1966
77;User077;Cottbus;User077pskurs.local;20.07.1963
78;User078;Bremen;User078pskurs.local;25.04.1989
79;User079;Bremen;User079pskurs.local;18.07.1965
80;User080;Krefeld;User080pskurs.local;13.09.1962
81;User081;Potsdam;User081pskurs.local;19.01.1989
82;User082;Halle (Saale);User082pskurs.local;10.06.1971
83;User083;Oldenburg (Oldb);User083pskurs.local;21.05.1985
84;User084;Recklinghausen;User084pskurs.local;22.11.1964
85;User085;Gütersloh;User085pskurs.local;21.02.1960
86;User086;Erfurt;User086pskurs.local;27.10.1966
87;User087;Mainz;User087pskurs.local;09.01.1975
88;User088;Bremer­haven;User088pskurs.local;04.06.1962
89;User089;Ulm;User089pskurs.local;11.08.1966
90;User090;Oldenburg (Oldb);User090pskurs.local;09.05.1966
91;User091;Lübeck;User091pskurs.local;21.02.1979
92;User092;Neuss;User092pskurs.local;09.02.1986
93;User093;Offenbach am Main;User093pskurs.local;28.03.1990
94;User094;Düsseldorf;User094pskurs.local;19.06.1964
95;User095;Karlsruhe;User095pskurs.local;23.11.1986
96;User096;Gelsenkirchen;User096pskurs.local;28.04.1960
97;User097;Gelsenkirchen;User097pskurs.local;04.01.1979
98;User098;Köln;User098pskurs.local;17.09.1987
99;User099;Recklinghausen;User099pskurs.local;29.04.1990
100;User100;Münster;User100pskurs.local;27.12.1972
101;User101;Oldenburg (Oldb);User101pskurs.local;16.08.1981
102;User102;Leverkusen;User102pskurs.local;16.12.1968
103;User103;Aachen;User103pskurs.local;06.12.1983
104;User104;Ingolstadt;User104pskurs.local;09.01.1990
105;User105;Heilbronn;User105pskurs.local;24.08.1960
106;User106;Lübeck;User106pskurs.local;27.11.1967
107;User107;Kassel;User107pskurs.local;10.07.1963
108;User108;Heidelberg;User108pskurs.local;14.02.1982
109;User109;Göttingen;User109pskurs.local;26.04.1973
110;User110;Ludwigshafen am Rhein;User110pskurs.local;26.05.1965
111;User111;Kassel;User111pskurs.local;06.05.1961
112;User112;Bremen;User112pskurs.local;24.11.1971
113;User113;Kiel;User113pskurs.local;04.12.1960
114;User114;Ingolstadt;User114pskurs.local;13.05.1972
115;User115;Wiesbaden;User115pskurs.local;23.05.1985
116;User116;Recklinghausen;User116pskurs.local;02.03.1988
117;User117;Bielefeld;User117pskurs.local;11.04.1980
118;User118;Wolfsburg;User118pskurs.local;04.10.1986
